id_employee,genre,statut_marital,departement,poste,a_quitte_l_entreprise,domaine_etude,frequence_deplacement,heure_supplementaires,evolution_cat_evol,categorie_employe,nombre_experiences_precedentes,annees_dans_l_entreprise,annees_depuis_la_derniere_promotion,nombre_participation_pee,niveau_education,revenu_mensuel,ecart_note_evaluation,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,nb_formations_suivies,age,distance_domicile_travail,exp_hors_entreprise,ratio_sans_promotion,satisfaction_employee_environnement,satisfaction_globale,revenu_par_annee_experience_totale,revenu_par_annee_experience_interne,mobilite_promotion
1,F,Célibataire,Commercial,Cadre Commercial,True,Infra & Cloud,Occasionnel,True,stable,employe_experimente,8,6,0,0,2,5993,0,4,1,1,3,0,41,1,2,0,2,2.0,8989,11986,4
10,F,Marié(e),Consulting,Consultant,False,Transformation Digitale,Occasionnel,True,stable,employe_nouveau_poste_interne,4,1,0,3,3,2670,0,1,1,2,4,3,59,3,11,0,3,1.75,2670,32040,-1
100,M,Célibataire,Commercial,Cadre Commercial,False,Marketing,Occasionnel,False,hausse,employe_experimente,0,15,2,0,4,4312,1,1,2,3,3,2,35,1,1,0,3,2.25,3234,3449,11
1001,F,Marié(e),Consulting,Consultant,False,Entrepreunariat,Occasionnel,False,stable,employe_experimente,9,2,2,1,4,2811,0,2,2,3,3,2,27,16,2,1,3,2.5,8433,16866,0
1002,M,Marié(e),Consulting,Consultant,False,Infra & Cloud,Aucun,True,stable,employe_experimente,1,9,0,1,2,3633,0,1,3,3,3,2,45,23,0,0,4,2.75,4844,4844,8
1003,F,Célibataire,Commercial,Cadre Commercial,False,Infra & Cloud,Occasionnel,True,stable,employe_nouveau_poste_interne,1,9,0,0,2,4163,0,4,3,3,3,0,47,4,0,0,4,3.5,5550,5550,-1
1004,F,Marié(e),Consulting,Assistant de Direction,True,Infra & Cloud,Occasionnel,True,stable,employe_experimente,4,5,0,0,3,2132,0,3,2,3,3,2,30,22,2,0,1,2.25,3654,5116,2
1005,M,Marié(e),Consulting,Tech Lead,False,Infra & Cloud,Occasionnel,True,stable,employe_experimente,3,12,1,1,3,13973,0,3,4,3,3,2,50,24,10,0,4,3.5,7621,13973,10
1006,M,Marié(e),Consulting,Assistant de Direction,False,Transformation Digitale,Frequent,False,stable,employe_experimente,0,2,0,1,1,2684,0,3,2,2,3,0,38,10,1,0,3,2.5,10736,16104,1
1007,M,Divorcé(e),Consulting,Tech Lead,False,Transformation Digitale,Occasionnel,False,stable,employe_experimente,6,8,0,1,2,10845,0,3,2,3,3,3,46,7,5,0,4,3.0,10010,16267,7
1009,F,Divorcé(e),Consulting,Tech Lead,False,Transformation Digitale,Occasionnel,False,hausse,employe_experimente,1,4,3,2,1,4377,1,3,2,3,3,6,24,17,1,0,4,3.0,10504,13131,-1
101,M,Marié(e),Consulting,Directeur Technique,False,Autre,Occasionnel,True,stable,employe_experimente_nouvel_entrant,4,0,0,0,4,13245,0,1,2,4,3,3,45,6,17,-1,4,2.75,9349,-1,-1
1010,M,Divorcé(e),Consulting,Consultant,True,Autre,Occasionnel,True,hausse,employe_experimente,1,4,0,1,4,3743,2,2,4,1,4,2,35,14,1,0,3,2.5,8983,11229,2
1011,F,Marié(e),Consulting,Tech Lead,False,Infra & Cloud,Frequent,False,stable,employe_experimente,1,4,0,1,1,4148,0,1,3,3,3,1,31,1,0,0,3,2.5,12444,12444,3
1012,M,Célibataire,Consulting,Assistant de Direction,False,Infra & Cloud,Aucun,False,stable,employe_sans_experience,1,0,0,0,2,1051,0,4,4,3,3,2,18,5,0,-1,2,3.25,-1,-1,-1
1013,F,Marié(e),Consulting,Tech Lead,False,Entrepreunariat,Occasionnel,False,stable,employe_experimente,8,10,0,1,3,10739,0,3,3,3,3,2,54,17,12,0,3,3.0,5857,12886,7
1014,F,Divorcé(e),Consulting,Manager,False,Transformation Digitale,Occasionnel,True,stable,employe_experimente,1,16,10,1,4,10388,0,3,3,2,3,3,35,25,0,0,3,2.75,7791,7791,0
1015,F,Marié(e),Consulting,Directeur Technique,False,Infra & Cloud,Occasionnel,True,baisse,employe_experimente,0,8,1,3,2,11416,-1,1,3,2,3,4,30,8,1,0,2,2.0,15221,17124,6
1016,F,Célibataire,Consulting,Assistant de Direction,True,Transformation Digitale,Occasionnel,True,hausse,employe_nouveau_poste_interne,1,1,0,0,3,2600,1,1,1,3,3,2,20,11,0,0,4,2.25,31200,31200,-1
